HD225097              , J000326.0+203957 , elodie:19990926/0038 ,   60   
HD225125              , J000344.4+420124 , elodie:20041204/0010 ,   94   
HD225125              , J000344.4+420124 , elodie:20041204/0009 ,   89   
HD225160              , J000403.8+621319 , elodie:20001210/0007 ,  109   
HD225160              , J000404.0+621319 , elodie:20010812/0021 ,  132   
HD225192              , J000420.0+400636 , elodie:19980903/0026 ,   65   
HD225192              , J000420.0+400636 , elodie:19990726/0036 ,   61   
HD225197              , J000419.0-163144 , elodie:20021026/0018 ,  165   
HD225212              , J000430.1-103035 , elodie:20040826/0040 ,  155   
HD225216              , J000441.0+670959 , elodie:20021024/0007 ,  346   
TYC5260-0895-1        , J000446.0-095153 , elodie:20010830/0015 ,   22   
HD225239A             , J000449.9+343931 , elodie:19961003/0019 ,   83   
HD225239              , J000453.6+343935 , elodie:20040927/0013 ,  126   
BD+444548             , J000506.9+454717 , elodie:19940928/0017 ,   52   
HD000001              , J000508.8+675024 , elodie:19960104/0032 ,   97   
HD000001              , J000508.8+675024 , elodie:20040724/0012 ,   51   
HD000001              , J000508.8+675024 , elodie:20040724/0013 ,  269   
HD000003A             , J000508.9+451324 , elodie:20020322/0005 ,    2   
HD000003A             , J000508.9+451324 , elodie:20020322/0007 ,    2   
HD000003A             , J000508.9+451324 , elodie:20020322/0006 ,    2   
GJ0002                , J000510.8+454711 , elodie:20010901/0018 ,   33   
GJ0002                , J000510.8+454711 , elodie:20031017/0022 ,   11   
GJ0002                , J000510.8+454711 , elodie:20040920/0014 ,   31   
GJ0002                , J000510.8+454711 , elodie:20041008/0019 ,   12   
GJ0002                , J000510.9+454711 , elodie:20050923/0014 ,   19   
J095851.8+445008      , J000537.1+454854 , elodie:19960629/0012 ,    2   
J095548.9+450714      , J000537.1+454854 , elodie:19960629/0008 ,    7   
J095548.9+450714      , J000537.1+454854 , elodie:19960629/0009 ,    2   
J095716.2+445013      , J000537.1+454854 , elodie:19960629/0011 ,    1   
